description,mood
"Resting under a tree with closed eyes",Relaxed

"Running excitedly in circles",Happy
"Refusing to leave the bed",Sad
"Growling at an unfamiliar sound",Angry
"Sleeping on a soft cushion",Relaxed

"Excitedly greeting family members",Happy
"Sitting in silence, looking down",Sad
"Barking loudly at a mail carrier",Angry
"Resting with paws crossed peacefully",Relaxed

"Leaping up to catch a frisbee",Happy
"Whimpering softly when ignored",Sad
"Snarling at a dog in the distance",Angry
"Calmly laying next to owner’s feet",Relaxed

"Chasing after a squirrel with excitement",Happy
"Curled up in a ball, looking sad",Sad
"Snapping at a fly buzzing around",Angry
"Resting peacefully by the fireplace",Relaxed
